step,rows,cols,dropped_cols,delta_rows,delta_cols
loaded raw parquet,214941,73,[],0,0
2.5 filtered to Canceled+CheckedOut+InHouse,207307,73,[],-7634,0
2.6 dropped pre-floor (COVID-era) arrivals,178911,73,[],-28396,0
2.6 dropped future arrivals,177998,73,[],-913,0
3.0.j dropped subsumed raws,177998,88,"['promoCode', 'corporateCode', 'adults', 'booker_company_name', 'primaryGuest_company_name', 'cancellationFee_dueDateTime']",0,15
3.0.5 manual drops applied,177998,73,"['paymentAccount_paymentMethod', 'paymentAccount_isVirtual', 'paymentAccount_isActive', 'balance_amount', 'balance_currency', 'is_first_res', 'is_last_res', 'unit_id', 'unit_name', 'unit_description', 'unit_unitGroupId', 'blockId', 'company_id', 'company_name_combined', 'groupName']",0,-15
3.1 dropped 100%-missing columns,177998,66,"['commission_amount', 'company_canCheckOutOnAr', 'company_name', 'company_code', 'commission_before_amount', 'commission_before_currency', 'commission_currency']",0,-7
3.2 dropped leakage columns,177998,62,"['modified', 'cancellationTime', 'allFoliosHaveInvoice', 'guest_id']",0,-4
3.3 inspected trios,177998,62,[],0,0
3.3 manual drops applied,177998,53,"['property_id', 'property_code', 'ratePlan_code', 'ratePlan_id', 'ratePlan_name', 'unitGroup_code', 'unitGroup_id', 'cancellationFee_code', 'cancellationFee_id']",0,-9
3.4 inspected near-constants,177998,53,[],0,0
3.4 manual drops applied,177998,45,"['unitGroup_type', 'totalGrossAmount_currency', 'cancellationFee_fee_currency', 'noShowFee_fee_currency', 'noShowFee_name', 'noShowFee_code', 'children', 'childrenAges']",0,-8
3.5 inspected free-text / opaque-ID columns,177998,45,[],0,0
3.5 manual drops applied,177998,40,"['bookingId', 'cancellationFee_description', 'noShowFee_description', 'ratePlan_description', 'unitGroup_description']",0,-5
3.6 inspected numeric correlations,177998,40,[],0,0
3.6 manual drops applied,177998,37,"['totalGrossAmount_amount', 'cancellationFee_fee_amount', 'noShowFee_fee_amount']",0,-3
3.7 inspected categorical associations,177998,37,[],0,0
3.7 manual drops applied,177998,32,"['noShowFee_id', 'is_nonref', 'ratePlan_isSubjectToCityTax', 'hasCityTax', 'is_international']",0,-5
4.1 dropped exact-ID duplicates,177998,31,[],0,-1
4.2 clipped negative lead_time,177998,31,[],0,0
4.3 after lead_time_days > 365,177987,35,[],-11,4
4.3 after los_nights < 1 (same calendar day),177984,35,[],-3,0
4.3 after Canceled + gross_amount<=0 (post-refund zeroing -> drop),177599,35,[],-385,0
4.3 after non-Canceled + gross_amount<=0,176231,35,[],-1368,0
4.3 after los_nights > 200,176212,35,[],-19,0
4.3 after gross_per_night > median + 5*MAD (cap=251.1),174171,35,[],-2041,0
4.3.d removed diagnostic scratch cols,174171,31,[],0,-4
4.4 dropped tiny properties,174171,31,[],0,0
4.5 QC passed,174171,31,[],0,0
5  engineering already complete (see §3.0 + inline refreshes),174171,31,[],0,0
5.2 company history features,174171,35,[],0,4
