feature,bucket,n,cancel_rate
cancellationFee_fee_amount,"(-0.001, 79.0]",14927,0.14055067997588264
cancellationFee_fee_amount,"(79.0, 89.07]",13679,0.1598070034359237
cancellationFee_fee_amount,"(89.07, 102.08]",14133,0.1779523101959952
cancellationFee_fee_amount,"(102.08, 125.02]",14239,0.19601095582554956
cancellationFee_fee_amount,"(125.02, 162.0]",14326,0.18323328214435292
cancellationFee_fee_amount,"(162.0, 211.0]",14159,0.16816159333286249
cancellationFee_fee_amount,"(211.0, 271.46]",14261,0.18596171376481313
cancellationFee_fee_amount,"(271.46, 372.3]",14208,0.20502533783783783
cancellationFee_fee_amount,"(372.3, 507.42]",14241,0.2455585984130328
cancellationFee_fee_amount,"(507.42, 8619.0]",14239,0.36765222276845283
cancel_days_before_arrival,"(-114.007, 0.201]",3018,0.5755467196819085
cancel_days_before_arrival,"(0.201, 1.012]",3017,1.0
cancel_days_before_arrival,"(1.012, 2.116]",3017,1.0
cancel_days_before_arrival,"(2.116, 4.0]",3018,1.0
cancel_days_before_arrival,"(4.0, 6.251]",3017,1.0
cancel_days_before_arrival,"(6.251, 11.082]",3017,1.0
cancel_days_before_arrival,"(11.082, 19.005]",3018,1.0
cancel_days_before_arrival,"(19.005, 31.68]",3017,1.0
cancel_days_before_arrival,"(31.68, 58.969]",3017,1.0
cancel_days_before_arrival,"(58.969, 363.979]",3018,1.0
lead_time_days,"(-0.001, 0.281]",14242,0.039390535037213875
lead_time_days,"(0.281, 1.849]",14241,0.10209957165929359
lead_time_days,"(1.849, 4.158]",14242,0.1416935823620278
lead_time_days,"(4.158, 7.111]",14240,0.18026685393258426
lead_time_days,"(7.111, 11.906]",14241,0.1702127659574468
lead_time_days,"(11.906, 18.156]",14241,0.19275331788497999
lead_time_days,"(18.156, 27.144]",14241,0.2309528825222948
lead_time_days,"(27.144, 42.903]",14241,0.27364651358752895
lead_time_days,"(42.903, 74.497]",14241,0.3065795941296257
lead_time_days,"(74.497, 364.509]",14242,0.39123718578851285
los_nights,"(0.999, 2.0]",92777,0.17895599124783082
los_nights,"(2.0, 3.0]",15272,0.1858957569408067
los_nights,"(3.0, 4.0]",8888,0.17608010801080107
los_nights,"(4.0, 9.0]",12121,0.2832274564804884
los_nights,"(9.0, 198.0]",13354,0.33345813988318107
gross_per_night,"(-0.001, 70.02]",14246,0.18489400533483083
gross_per_night,"(70.02, 79.07]",14401,0.1754739254218457
gross_per_night,"(79.07, 86.86]",14084,0.1846066458392502
gross_per_night,"(86.86, 93.0]",14345,0.1930289299407459
gross_per_night,"(93.0, 99.87]",14175,0.19929453262786595
gross_per_night,"(99.87, 109.0]",14736,0.19252171552660152
gross_per_night,"(109.0, 119.0]",14000,0.20335714285714285
gross_per_night,"(119.0, 132.167]",13943,0.22061249372444955
gross_per_night,"(132.167, 156.33]",14243,0.2173699361089658
gross_per_night,"(156.33, 345.28]",14239,0.2585855748296931
diff_gross_cancellation_fee,"(-0.001, 6.18]",85453,0.2007536306507671
diff_gross_cancellation_fee,"(6.18, 18.0]",14365,0.13498085624782458
diff_gross_cancellation_fee,"(18.0, 83.74]",14112,0.13555839002267572
diff_gross_cancellation_fee,"(83.74, 369.0]",14241,0.23214661891721086
diff_gross_cancellation_fee,"(369.0, 17309.0]",14241,0.3216066287479812
arrival_dow,"(-0.001, 1.0]",47693,0.19074077956932883
arrival_dow,"(1.0, 2.0]",19420,0.2
arrival_dow,"(2.0, 3.0]",16740,0.21296296296296297
arrival_dow,"(3.0, 4.0]",21305,0.21295470546819995
arrival_dow,"(4.0, 5.0]",19399,0.2202175369864426
arrival_dow,"(5.0, 6.0]",17855,0.19815177821338562
arrival_month,"(0.999, 2.0]",18607,0.2082549578115763
arrival_month,"(2.0, 3.0]",10056,0.21250994431185363
arrival_month,"(3.0, 5.0]",20843,0.19982728014201412
arrival_month,"(5.0, 6.0]",10643,0.19994362491778633
arrival_month,"(6.0, 8.0]",20937,0.19362850456130296
arrival_month,"(8.0, 9.0]",16604,0.21464707299445918
arrival_month,"(9.0, 10.0]",14833,0.20171239803141644
arrival_month,"(10.0, 11.0]",16889,0.19379477766593642
arrival_month,"(11.0, 12.0]",13000,0.20807692307692308
log_gross_amount,"(-0.001, 4.424]",14243,0.14161342413817313
log_gross_amount,"(4.424, 4.594]",14244,0.16989609660207808
log_gross_amount,"(4.594, 4.745]",14501,0.17991862630163438
log_gross_amount,"(4.745, 4.977]",14184,0.19098984771573604
log_gross_amount,"(4.977, 5.242]",14056,0.1729510529311326
log_gross_amount,"(5.242, 5.505]",14225,0.17750439367311072
log_gross_amount,"(5.505, 5.808]",14240,0.1883426966292135
log_gross_amount,"(5.808, 6.175]",14237,0.1932991501018473
log_gross_amount,"(6.175, 6.822]",14241,0.26325398497296537
log_gross_amount,"(6.822, 9.798]",14241,0.3510287198932659
diff_gross_cancellation_fee_log,"(-0.001, 1.971]",85453,0.2007536306507671
diff_gross_cancellation_fee_log,"(1.971, 2.944]",14365,0.13498085624782458
diff_gross_cancellation_fee_log,"(2.944, 4.44]",14112,0.13555839002267572
diff_gross_cancellation_fee_log,"(4.44, 5.914]",14241,0.23214661891721086
diff_gross_cancellation_fee_log,"(5.914, 9.759]",14241,0.3216066287479812
los_nights_log,"(0.692, 1.099]",92777,0.17895599124783082
los_nights_log,"(1.099, 1.386]",15272,0.1858957569408067
los_nights_log,"(1.386, 1.609]",8888,0.17608010801080107
los_nights_log,"(1.609, 2.303]",12121,0.2832274564804884
los_nights_log,"(2.303, 5.293]",13354,0.33345813988318107
lead_time_days_log,"(-0.001, 0.248]",14242,0.039390535037213875
lead_time_days_log,"(0.248, 1.047]",14241,0.10209957165929359
lead_time_days_log,"(1.047, 1.64]",14242,0.1416935823620278
lead_time_days_log,"(1.64, 2.093]",14240,0.18026685393258426
lead_time_days_log,"(2.093, 2.558]",14241,0.1702127659574468
lead_time_days_log,"(2.558, 2.953]",14241,0.19275331788497999
lead_time_days_log,"(2.953, 3.337]",14241,0.2309528825222948
lead_time_days_log,"(3.337, 3.782]",14241,0.27364651358752895
