property_name,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Berlin Friedrichshain,0.30434782608695654,0.22316986496090974,0.18434528163862474,0.22879684418145957,0.26831091180866967,0.2143326758711374,0.2173606210303458,0.22180248246087425,0.2732919254658385,0.21477742083524554,0.24419204956117707,0.2667821567778259,0.2794036443953617,0.21363636363636362,0.2206703910614525,0.241343669250646
Bielefeld Hauptbahnhof,0.146927374301676,0.1989492119089317,0.16666666666666666,0.16933797909407666,0.15884159719175076,0.1976694000863185,0.17349137931034483,0.1532608695652174,0.15132530120481927,0.18429661941112324,0.16823308270676693,0.17391304347826086,0.17383669885864794,0.17046070460704607,0.16511627906976745,0.13498711340206185
Bochum Ehrenfeld,,,,,,,,,,,,,,0.16835326586936522,0.151681537405628,0.1270175438596491
Bremen Am Wall,0.1496649292628444,0.2023995826812728,0.15307262569832403,0.17311072056239016,0.17539682539682538,0.19196119196119196,0.15884194053208137,0.1335978835978836,0.14565701559020044,0.1767866738312735,0.1549053356282272,0.1694915254237288,0.13974151857835218,0.15610176800344977,0.18744007670182167,0.19811662441144512
Cologne Ehrenfeld,0.26327433628318586,0.24158125915080528,0.24916201117318434,0.2700636942675159,0.2985257985257985,0.22315035799522673,0.22160664819944598,0.20718816067653276,0.22439024390243903,0.21551724137931033,0.22766217870257038,0.21993127147766323,0.22290748898678414,0.199490662139219,0.18759124087591242,0.2076423936553713
Cologne Sülz,,,,,,,,,0.1657142857142857,0.2222222222222222,0.25137614678899084,0.2276923076923077,0.20238095238095238,0.1941747572815534,0.22088353413654618,0.20965842167255594
Frankfurt Sachsenhausen,0.3215258855585831,0.34110535405872194,0.3010007698229407,0.24911660777385158,0.22313296903460839,0.23198733174980204,0.2861635220125786,0.31159917638984214,0.3290754257907543,0.20164870006341154,0.25884016973125884,0.2066772655007949,0.20812182741116753,0.2700142112742776,0.27326914259513985,0.2700847799757771
Fürth Hallstraße,,,,,,,,,,,,,,,,0.16623376623376623
Gütersloh Langer Weg,,,,,,,,0.154,0.13587604290822408,0.15209988649262202,0.12253641816623821,0.15168539325842698,0.17878338278931752,0.16743119266055045,0.15143056524773202,0.15673758865248227
Osnabrück Johannisstraße,,,,,,,,,,,,,,0.16688918558077437,0.15803108808290156,0.16211453744493393
Wolfsburg Schachtweg,,0.19008264462809918,0.15726495726495726,0.17408376963350786,0.17925925925925926,0.2041564792176039,0.17976031957390146,0.21151079136690648,0.21448467966573817,0.18214936247723132,0.1993801652892562,0.1577981651376147,0.1888372093023256,0.20341880341880342,0.18281381634372368,0.20746268656716418
