C,active_columns,total_columns,auc_tail,part,dropped_weakest,n_features,set,model,auc_val
0.001,15.0,73.0,0.7471037375681706,l1_path,,,,,
0.003,24.0,73.0,0.7509208934167633,l1_path,,,,,
0.01,28.0,73.0,0.7524069582369861,l1_path,,,,,
0.03,35.0,73.0,0.7522599667799307,l1_path,,,,,
0.1,49.0,73.0,0.7524103710185301,l1_path,,,,,
0.3,61.0,73.0,0.7525315919440835,l1_path,,,,,
1.0,66.0,73.0,0.7525270505261232,l1_path,,,,,
10.0,73.0,73.0,0.7521209295223796,l1_path,,,,,
,,,0.7998784807919652,wrapper_path,0.0,22.0,,,
,,,0.7990620332702131,wrapper_path,4.0,18.0,,,
,,,0.7924745049767088,wrapper_path,8.0,14.0,,,
,,,0.7941559179499598,wrapper_path,12.0,10.0,,,
,,,0.7924035486801174,wrapper_path,16.0,6.0,,,
,,,0.743346815970216,wrapper_path,20.0,2.0,,,
,,,,final_val,,22.0,full_set,histgb,0.8054025105853635
,,,,final_val,,22.0,full_set,logreg,0.7624384533676392
,,,,final_val,,18.0,wrapper_subset,histgb,0.8057475239082919
,,,,final_val,,18.0,wrapper_subset,logreg,0.7634619106846077
