rank_test_score,mean_test_score,std_test_score,params
1,0.49804660709499204,0.03412536225725391,"{'clf__C': np.float64(0.45617324056306324), 'clf__l1_ratio': np.float64(0.42754101835854963)}"
2,0.49799119048917795,0.034112230869997984,"{'clf__C': np.float64(0.15577217702693022), 'clf__l1_ratio': np.float64(0.7851759613930136)}"
3,0.49798535282616035,0.0340581738866325,"{'clf__C': np.float64(0.10558813779064824), 'clf__l1_ratio': np.float64(0.2912291401980419)}"
4,0.49742609039760266,0.03419420374131347,"{'clf__C': np.float64(0.6713854967599217), 'clf__l1_ratio': np.float64(0.18485445552552704)}"
5,0.4972972819043265,0.03361823610512827,"{'clf__C': np.float64(0.0745899749412721), 'clf__l1_ratio': np.float64(0.7555511385430487)}"
6,0.49727900471037756,0.03438913191116577,"{'clf__C': np.float64(1.5321449415450707), 'clf__l1_ratio': np.float64(0.9218742350231168)}"
7,0.49715149536294145,0.03437158944007853,"{'clf__C': np.float64(1.6136341713591311), 'clf__l1_ratio': np.float64(0.7080725777960455)}"
8,0.4970167799445564,0.033977198111710044,"{'clf__C': np.float64(0.05257036929213672), 'clf__l1_ratio': np.float64(0.2713490317738959)}"
9,0.49663502834827594,0.034322369072234606,"{'clf__C': np.float64(1.4024971326600353), 'clf__l1_ratio': np.float64(0.046450412719997725)}"
10,0.49660319260726526,0.0345389639094568,"{'clf__C': np.float64(2.7153529939846566), 'clf__l1_ratio': np.float64(0.8714605901877177)}"
