feature,gain
cat__cancellationFee_name_Non-refundable Shortstay ,0.18832153
cat__guaranteeType_Prepayment,0.12623212
cat__channelCode_Booking.com,0.08034007
cat__ratePlan_category_flexible longstay,0.054990996
cat__ratePlan_category_nonref,0.04782448
cat__channelCode_Direct,0.031698357
cat__cancellationFee_name_OTA Mediumstay,0.0290594
cat__guaranteeType_CreditCard,0.027635282
num__lead_time_days,0.024921237
num__has_group,0.023436656
num__has_company,0.022807289
cat__cancellationFee_name_OTA Midstay,0.019204888
cat__cancellationFee_name_OTA Shortstay,0.014734419
cat__channelCode_Airbnb,0.014463876
num__company_prior_cancel_rate,0.013066207
num__log_gross_amount,0.0117660705
cat__ratePlan_category_flexible shortstay,0.011733545
num__diff_gross_cancellation_fee,0.010683436
cat__property_name_Frankfurt Sachsenhausen,0.010043973
num__los_nights,0.0090431115
cat__cancellationFee_name_Flexible Midstay,0.00902536
num__is_repeat_company,0.008366083
cat__guaranteeType_Company,0.008293554
cat__channelCode_HRS,0.0072291046
cat__stay_bucket_long,0.0068494244
cat__ratePlan_category_exklusive firmenrate,0.006234648
cat__channelCode_Ibe,0.0059731426
cat__cancellationFee_name_Flexible Corporate Shortstay,0.0059022726
cat__ratePlan_category_flexible shortstay with breakfast box,0.0058231982
cat__cancellationFee_name_Airbnb Longstay,0.00575367
cat__cancellationFee_name_Flexible Shortstay,0.0057156486
cat__ratePlan_category_flexible shortstay with breakfast,0.005700615
cat__cancellationFee_name_Airbnb,0.0049829585
cat__ratePlan_category_hrs,0.00490444
cat__property_name_Gütersloh Langer Weg,0.0046969187
num__has_corporate_code,0.0044662682
num__company_prior_bookings,0.004443514
cat__property_name_Cologne Ehrenfeld,0.004207646
cat__ratePlan_category_airbnb shortstay,0.0041518835
cat__cancellationFee_name_Flexible Longstay,0.004136856
cat__property_name_Bremen Am Wall,0.0037830533
cat__property_name_Wolfsburg Schachtweg,0.0037253904
cat__unitGroup_name_BIG,0.0036988817
num__has_promo,0.003675108
cat__channelCode_Expedia,0.0036559931
cat__ratePlan_category_flexible midstay,0.003594999
num__gross_per_night,0.0035919424
cat__property_name_Cologne Sülz,0.0035846098
cat__ratePlan_category_exclusive corporate rate hrs volkswagen,0.0035232971
num__arrival_month,0.0035082276
cat__ratePlan_category_exclusive corporate rate with breakfast,0.003483294
cat__ratePlan_category_airbnb longstay,0.003296787
cat__cancellationFee_name_HRS,0.003252019
num__adults_n,0.0032141402
cat__property_name_Bielefeld Hauptbahnhof,0.003176631
cat__ratePlan_category_exclusive corporate rate goldbeck,0.0031594422
cat__unitGroup_name_UPPER,0.0031320374
cat__stay_bucket_short,0.0030154188
cat__property_name_Berlin Friedrichshain,0.0028974277
cat__ratePlan_category_airbnb midstay,0.0028237258
cat__ratePlan_category_exclusive corporate rate,0.0027442507
cat__stay_bucket_mid,0.0026241704
cat__ratePlan_category_exclusive corporate rate hrs,0.0025549368
num__has_children,0.0025391984
cat__unitGroup_name_BIGGER,0.0024787276
num__arrival_dow,0.0024531544
cat__channelCode_CRC Corporate Rates Club,0.0023922317
cat__channelCode_Rydoo,0.0022334568
cat__ratePlan_category_stay again -10%,0.0021204285
cat__cancellationFee_name_Flexible Mediumstay,0.0019928305
cat__unitGroup_name_BOX,0.0019678748
num__is_weekend_arrival,0.0019483591
cat__unitGroup_name_BIG WITH BALCONY,0.0019367043
cat__ratePlan_category_family & friends shortstay,0.0018246102
cat__channelCode_Other,0.0018141881
cat__channelCode_GDS,0.0015426596
cat__cancellationFee_name_Flexible,0.001301157
cat__channelCode_TravelPerk,0.0012413797
cat__unitGroup_name_BIGGER AIRCON Not in use,0.0011943044
cat__ratePlan_category_crc flexible shortstay,0.0011135634
cat__ratePlan_category_exclusive corporate rate hrs schüco,0.0007302325
cat__ratePlan_category_other,0.0007286586
cat__ratePlan_category_exclusive corporate rate hrs consortia,0.000486664
cat__cancellationFee_name_Corporate Longstay,0.00041517202
cat__cancellationFee_name_Flexible Corporate Midstay,0.0003990194
cat__cancellationFee_name_Corporate Shortstay,0.00024073436
cat__ratePlan_category_hrs oetker,0.00017256275
cat__unitGroup_name_UPPER AIR,0.00012848967
cat__ratePlan_category_airbnb long stay,2.365218e-05
cat__cancellationFee_name_Flexible Rate with Museum Pass,0.0
cat__cancellationFee_name_Flexible Corporate Mediumstay,0.0
cat__channelCode_Apartmentservice,0.0
cat__ratePlan_category_hrs volkswagen,0.0
cat__ratePlan_category_hrs bertelsmann,0.0
cat__ratePlan_category_exclusive corporate rate mindsquare,0.0
cat__channelCode_HomeLike,0.0
cat__channelCode_HousingAnywhere,0.0
cat__cancellationFee_name_Corporate Mediumstay,0.0
cat__cancellationFee_name_Corporate Midstay,0.0
cat__unitGroup_name_BIGGER COURTYARD,0.0
cat__channelCode_Tomas,0.0
cat__unitGroup_name_BIG AIRCON,0.0
cat__ratePlan_category_exclusive corporate rate hrs tuv,0.0
cat__channelCode_ehotel AG,0.0
cat__channelCode_feratel,0.0
cat__ratePlan_category_stay again -25%,0.0
cat__ratePlan_category_comp,0.0
cat__ratePlan_category_exclusive corporate rate hrs telekom,0.0
cat__ratePlan_category_crc flexible shortstay with breakfast,0.0
cat__ratePlan_category_hrs consortia,0.0
cat__cancellationFee_name_Non-refundable Rate with Museum Pass,0.0
cat__ratePlan_category_team member shortstay,0.0
