parent,gain
cancellationFee_name,0.29443794
ratePlan_category,0.17374492
guaranteeType,0.16216095
channelCode,0.15258446
property_name,0.03611565
lead_time_days,0.024921237
has_group,0.023436656
has_company,0.022807289
unitGroup_name,0.01453702
company_prior_cancel_rate,0.013066207
stay_bucket,0.012489013
log_gross_amount,0.0117660705
diff_gross_cancellation_fee,0.010683436
los_nights,0.0090431115
is_repeat_company,0.008366083
has_corporate_code,0.0044662682
company_prior_bookings,0.004443514
has_promo,0.003675108
gross_per_night,0.0035919424
arrival_month,0.0035082276
adults_n,0.0032141402
has_children,0.0025391984
arrival_dow,0.0024531544
is_weekend_arrival,0.0019483591
