feature,auc_drop_mean,auc_drop_std
lead_time_days,0.12531715067631266,0.0037489479742572416
cancellationFee_name,0.04438200541368711,0.0033920780574309872
diff_gross_cancellation_fee,0.025425464240097728,0.0011326058831222022
channelCode,0.025104505665058195,0.0023986663557380747
guaranteeType,0.01375435419530886,0.0016655222930713578
company_prior_cancel_rate,0.010778195125690514,0.0014527267195838663
has_company,0.0051594041161144855,0.0008958316783679517
ratePlan_category,0.003587264594705153,0.000605507739934776
property_name,0.0035038392578927713,0.0007789664436565876
company_prior_bookings,0.002994078593038685,0.00046173323530147105
log_gross_amount,0.0021016116620258705,0.0005931200390807689
gross_per_night,0.0015049910850370774,0.0006954723011096073
los_nights,0.0010225328051719274,0.00019574616620514316
has_group,0.0008307690163475989,0.0003468584519869129
arrival_dow,0.0007682746784192229,0.0004573655196314265
adults_n,0.0005491836163788122,0.00024664745757673194
is_repeat_company,0.0004884065661115544,0.0002158279491350605
has_promo,0.0003843488891388747,0.00021884033571883444
arrival_month,0.000338231004558498,0.00016162873339273134
stay_bucket,8.43462012103835e-05,7.757682305206822e-05
unitGroup_name,-1.8417287959815454e-06,0.00017437096432544195
has_children,-1.1871684265973848e-05,4.764419276595393e-05
is_weekend_arrival,-6.356453168818721e-05,3.14573208686139e-05
has_corporate_code,-9.80845024992849e-05,2.0323549983041607e-05
