rank_test_score,mean_test_score,std_test_score,params
1,0.5490732815868504,0.03452473063119352,"{'clf__colsample_bytree': np.float64(0.6888431241882921), 'clf__gamma': np.float64(0.0599326836668414), 'clf__learning_rate': np.float64(0.0315281541750961), 'clf__max_depth': 5, 'clf__min_child_weight': 3, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.03600575029200901), 'clf__reg_lambda': np.float64(6.687265276473394), 'clf__subsample': np.float64(0.7454518409517176)}"
2,0.5476217453095621,0.0356517523182901,"{'clf__colsample_bytree': np.float64(0.7693605922825478), 'clf__gamma': np.float64(0.19744075908778486), 'clf__learning_rate': np.float64(0.02713423743251271), 'clf__max_depth': 5, 'clf__min_child_weight': 5, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.13615257464006505), 'clf__reg_lambda': np.float64(9.22313624127534), 'clf__subsample': np.float64(0.8423839899124046)}"
3,0.5471059682531533,0.03495557173687555,"{'clf__colsample_bytree': np.float64(0.7434587125184655), 'clf__gamma': np.float64(0.12708182453486938), 'clf__learning_rate': np.float64(0.027301091119896956), 'clf__max_depth': 4, 'clf__min_child_weight': 1, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.12332389221028006), 'clf__reg_lambda': np.float64(6.674083714996225), 'clf__subsample': np.float64(0.743796460487902)}"
4,0.547029781006995,0.036052056914082094,"{'clf__colsample_bytree': np.float64(0.902144564127061), 'clf__gamma': np.float64(0.21257793724562235), 'clf__learning_rate': np.float64(0.02028406763400795), 'clf__max_depth': 6, 'clf__min_child_weight': 3, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.8105016126411579), 'clf__reg_lambda': np.float64(8.725278311502205), 'clf__subsample': np.float64(0.9757995766256756)}"
5,0.5465714432301623,0.03669172665613276,"{'clf__colsample_bytree': np.float64(0.9530545372757359), 'clf__gamma': np.float64(0.09435355417068969), 'clf__learning_rate': np.float64(0.025818250027024998), 'clf__max_depth': 5, 'clf__min_child_weight': 10, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.4912819179585586), 'clf__reg_lambda': np.float64(13.18668626007199), 'clf__subsample': np.float64(0.9119502183430496)}"
6,0.546541646912275,0.035537347173013385,"{'clf__colsample_bytree': np.float64(0.6125716742746937), 'clf__gamma': np.float64(0.3182052056318902), 'clf__learning_rate': np.float64(0.029130095015495922), 'clf__max_depth': 6, 'clf__min_child_weight': 3, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.005595986878006083), 'clf__reg_lambda': np.float64(2.2721032685785874), 'clf__subsample': np.float64(0.9022204554172195)}"
7,0.546443001938471,0.03514653135137657,"{'clf__colsample_bytree': np.float64(0.7135683898949863), 'clf__gamma': np.float64(0.15268193017219672), 'clf__learning_rate': np.float64(0.05215673502035945), 'clf__max_depth': 5, 'clf__min_child_weight': 10, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.004707690774317692), 'clf__reg_lambda': np.float64(6.917096611087357), 'clf__subsample': np.float64(0.69489963499872)}"
8,0.5462711969310955,0.03646929558275898,"{'clf__colsample_bytree': np.float64(0.9895022075365837), 'clf__gamma': np.float64(0.11638567021515211), 'clf__learning_rate': np.float64(0.013609328284484965), 'clf__max_depth': 5, 'clf__min_child_weight': 10, 'clf__n_estimators': 900, 'clf__reg_alpha': np.float64(0.8906204386161677), 'clf__reg_lambda': np.float64(2.7973844798503222), 'clf__subsample': np.float64(0.9439761626945282)}"
9,0.546088254079754,0.03517701975269873,"{'clf__colsample_bytree': np.float64(0.9887128330883843), 'clf__gamma': np.float64(0.4812236474710556), 'clf__learning_rate': np.float64(0.023545774516299134), 'clf__max_depth': 4, 'clf__min_child_weight': 5, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.0027813829613946117), 'clf__reg_lambda': np.float64(19.833991243505853), 'clf__subsample': np.float64(0.706712405710114)}"
10,0.5456677776690004,0.03692922544844168,"{'clf__colsample_bytree': np.float64(0.9314950036607718), 'clf__gamma': np.float64(0.17837666334679464), 'clf__learning_rate': np.float64(0.026000059117302653), 'clf__max_depth': 6, 'clf__min_child_weight': 1, 'clf__n_estimators': 300, 'clf__reg_alpha': np.float64(0.007741417985242885), 'clf__reg_lambda': np.float64(0.9198935109497568), 'clf__subsample': np.float64(0.6062545626964776)}"
