feature,importance
cat__cancellationFee_name_Non-refundable Shortstay ,0.15884176
cat__travelPurpose_Business,0.085419476
cat__travelPurpose_Leisure,0.072838604
cat__guaranteeType_Prepayment,0.0703812
cat__primaryGuest_address_countryCode_DE,0.040911194
cat__channelCode_Ibe,0.035290655
num__is_international,0.034720197
cat__channelCode_Airbnb,0.029843936
cat__channelCode_HRS,0.024531001
cat__cancellationFee_name_Airbnb,0.023539985
cat__channelCode_Booking.com,0.018705215
cat__channelCode_Expedia,0.012820707
cat__primaryGuest_preferredLanguage_en,0.012358674
cat__ratePlan_category_hrs bertelsmann,0.011057014
cat__primaryGuest_preferredLanguage_de,0.008831449
num__has_group,0.008770422
num__lead_time_days,0.008141258
cat__channelCode_Direct,0.0072161155
cat__primaryGuest_address_countryCode_NL,0.006387134
cat__ratePlan_category_flexible shortstay,0.006240413
cat__primaryGuest_address_countryCode_CH,0.0057459725
cat__cancellationFee_name_OTA Shortstay,0.0056575006
num__adults_n,0.005466742
cat__cancellationFee_name_Flexible Shortstay,0.00520079
cat__guaranteeType_Company,0.005048151
cat__channelCode_Other,0.0047635646
cat__ratePlan_category_hrs,0.004655841
cat__ratePlan_category_exclusive corporate rate hrs volkswagen,0.0044358987
cat__ratePlan_category_nonref,0.004393574
cat__channelCode_CRC Corporate Rates Club,0.0043702
cat__cancellationFee_name_Flexible OTA,0.004304804
cat__property_name_Bielefeld Hauptbahnhof,0.0041268473
cat__ratePlan_category_hinterland of things conference 2022,0.0039150035
cat__ratePlan_category_exclusive corporate rate,0.003833288
num__has_corporate_code,0.0037414287
cat__stay_bucket_long,0.0036292467
cat__primaryGuest_address_countryCode_AT,0.0035659643
cat__guaranteeType_CreditCard,0.0034349184
cat__property_name_Frankfurt Sachsenhausen,0.0032621531
cat__ratePlan_category_airbnb shortstay,0.003060513
num__diff_gross_cancellation_fee,0.0030597078
cat__primaryGuest_address_countryCode_CZ,0.0030012282
cat__primaryGuest_address_countryCode_IN,0.0029290614
cat__primaryGuest_address_countryCode_SA,0.0028917356
cat__primaryGuest_preferredLanguage_es,0.0026706834
cat__property_name_Fürth Hallstraße,0.002602074
cat__cancellationFee_name_Flexible Corporate Shortstay,0.0025609809
cat__cancellationFee_name_HRS,0.0025030503
cat__ratePlan_category_flexible shortstay with breakfast box,0.0024927047
cat__primaryGuest_address_countryCode_GB,0.002353322
cat__ratePlan_category_exklusive firmenrate,0.0023453778
num__has_promo,0.0023387147
cat__primaryGuest_address_countryCode_TR,0.0022910822
num__los_nights,0.0021983734
cat__property_name_Osnabrück Johannisstraße,0.0021445646
cat__ratePlan_category_flexible shortstay with breakfast,0.0021443772
cat__ratePlan_category_stay again -10%,0.0021154487
cat__property_name_Cologne Ehrenfeld,0.002085583
cat__ratePlan_category_family & friends shortstay,0.0020709392
cat__primaryGuest_address_countryCode_KR,0.0020676462
cat__primaryGuest_address_countryCode_NO,0.002037908
cat__ratePlan_category_long stay channels,0.001990663
cat__cancellationFee_name_Flexible Midstay,0.0019660618
cat__property_name_Bochum Ehrenfeld,0.0019406148
cat__primaryGuest_address_countryCode_ES,0.001908278
cat__cancellationFee_name_Flexible Mediumstay,0.0019074226
cat__cancellationFee_name_Flexible Longstay,0.0018888182
cat__primaryGuest_address_countryCode_KZ,0.0018837694
cat__primaryGuest_address_countryCode_PL,0.0018554614
cat__primaryGuest_address_countryCode_AU,0.0018521232
cat__ratePlan_category_exclusive corporate rate hrs schüco,0.001822317
cat__cancellationFee_name_Corporate Shortstay,0.00181783
cat__unitGroup_name_BIG AIRCON,0.0018150962
cat__primaryGuest_address_countryCode_DK,0.0018142643
cat__cancellationFee_name_Flexible,0.0017986118
cat__ratePlan_category_hrs big,0.001797526
cat__unitGroup_name_BOX,0.0017798302
cat__primaryGuest_address_countryCode_TW,0.0017591411
cat__cancellationFee_name_Airbnb Longstay,0.0017589461
cat__property_name_Gütersloh Langer Weg,0.0017462042
cat__property_name_Berlin Friedrichshain,0.0017393882
cat__ratePlan_category_special rate,0.0017306007
cat__property_name_Bremen Am Wall,0.001725574
cat__primaryGuest_address_countryCode_US,0.0017252896
cat__channelCode_Synxis,0.001709405
cat__primaryGuest_address_countryCode_IL,0.0016976983
cat__primaryGuest_address_countryCode_BE,0.0016956815
cat__primaryGuest_address_countryCode_CA,0.0016873296
num__gross_per_night,0.0016820682
cat__property_name_Cologne Sülz,0.0016819475
cat__primaryGuest_address_countryCode_GN,0.0016587321
cat__primaryGuest_address_countryCode_FR,0.0016463377
cat__property_name_Wolfsburg Schachtweg,0.0016392482
cat__primaryGuest_address_countryCode_RS,0.0016306295
cat__channelCode_HomeLike,0.001626773
cat__ratePlan_category_exclusive corporate rate with breakfast,0.0016173146
cat__primaryGuest_address_countryCode_BR,0.0016160026
cat__stay_bucket_short,0.0015987853
cat__unitGroup_name_UPPER,0.0015780329
num__log_gross_amount,0.0015761199
cat__ratePlan_category_exclusive corporate rate hrs,0.0015449929
num__arrival_dow,0.0015382856
cat__ratePlan_category_hrs bigger,0.0015371374
cat__unitGroup_name_BIGGER AIRCON Not in use,0.0015214491
cat__primaryGuest_address_countryCode_GE,0.0015127794
cat__primaryGuest_address_countryCode_IE,0.0015038055
cat__primaryGuest_address_countryCode_RO,0.0014542443
cat__unitGroup_name_BIG WITH BALCONY,0.0014422359
num__arrival_month,0.001426148
cat__primaryGuest_address_countryCode_JP,0.0014225402
cat__ratePlan_category_flexible longstay,0.0014183767
cat__primaryGuest_address_countryCode_IT,0.0014076084
cat__primaryGuest_address_countryCode_EG,0.0013954617
cat__primaryGuest_address_countryCode_UA,0.0013858168
cat__primaryGuest_address_countryCode_CN,0.0013824081
cat__ratePlan_category_homelike 1.290€ longstay,0.0013630219
cat__primaryGuest_address_countryCode_SK,0.0013457235
cat__primaryGuest_address_countryCode_HK,0.0013308481
cat__primaryGuest_address_countryCode_LT,0.0013302275
cat__cancellationFee_name_Corporate Midstay,0.00130094
cat__primaryGuest_address_countryCode_NZ,0.0012966234
cat__stay_bucket_mid,0.0012867115
cat__primaryGuest_address_countryCode_ID,0.0012851261
cat__primaryGuest_address_countryCode_CY,0.0012802854
cat__primaryGuest_address_countryCode_HR,0.0012699541
cat__ratePlan_category_homelike 1.190€ longstay,0.0012635536
cat__cancellationFee_name_OTA Midstay,0.0012602964
cat__cancellationFee_name_Corporate Mediumstay,0.0012544192
cat__primaryGuest_preferredLanguage_nl,0.0012534623
cat__ratePlan_category_hrs ccr,0.0012534066
cat__unitGroup_name_BIG,0.0012403008
cat__primaryGuest_address_countryCode_PT,0.0012378999
cat__ratePlan_category_exclusive corporate rate hrs consortia,0.0012244125
cat__primaryGuest_address_countryCode_SE,0.001222079
cat__ratePlan_category_exclusive corporate rate goldbeck,0.0012208691
cat__ratePlan_category_comp,0.001214206
cat__primaryGuest_address_countryCode_AE,0.0011979855
cat__ratePlan_category_hrs drees & sommer,0.0011814379
cat__unitGroup_name_UPPER AIR,0.0011559948
cat__primaryGuest_address_countryCode_FI,0.001150694
cat__cancellationFee_name_OTA Mediumstay,0.0011439264
cat__primaryGuest_address_countryCode_GR,0.0011424333
cat__ratePlan_category_stay again -25%,0.0011402187
cat__ratePlan_category_hrs volkswagen,0.001134965
cat__cancellationFee_name_Corporate Longstay,0.001127209
cat__primaryGuest_address_countryCode_NG,0.0010996601
cat__primaryGuest_address_countryCode_MX,0.001092298
cat__primaryGuest_address_countryCode_LU,0.0010851749
cat__unitGroup_name_BIGGER,0.0010795383
cat__unitGroup_name_BIGGER AIRCON ,0.0010788132
cat__primaryGuest_address_countryCode_HU,0.0010731404
cat__ratePlan_category_airbnb midstay,0.0010682086
cat__primaryGuest_address_countryCode_QA,0.0010639678
cat__primaryGuest_address_countryCode_AZ,0.0010625093
cat__primaryGuest_address_countryCode_CI,0.0010620757
cat__ratePlan_category_flexible midstay,0.0010587819
cat__unitGroup_name_BIGGER COURTYARD,0.0010487641
cat__primaryGuest_address_countryCode_PK,0.0010303032
cat__primaryGuest_address_countryCode_GH,0.001021019
cat__primaryGuest_address_countryCode_LV,0.0010209336
cat__ratePlan_category_exclusive corporate rate mindsquare,0.0010087481
cat__channelCode_GDS,0.0009996352
cat__primaryGuest_address_countryCode_AR,0.0009897696
cat__primaryGuest_address_countryCode_BO,0.0009728618
cat__primaryGuest_address_countryCode_ZA,0.0009716678
cat__primaryGuest_address_countryCode_CO,0.0009555497
cat__primaryGuest_address_countryCode_AL,0.00094727334
cat__ratePlan_category_hrs consortia,0.00094027765
cat__ratePlan_category_opening special,0.0009367561
num__is_weekend_arrival,0.0009244976
cat__primaryGuest_address_countryCode_PH,0.0009235958
cat__ratePlan_category_fair discount,0.00091954577
