slice,,n_test,cancel_share,auc
by_property,Wolfsburg Schachtweg,3392,0.20931603773584906,0.9485639789520119
by_property,Frankfurt Sachsenhausen,6043,0.27436703624027803,0.9429780353849139
by_property,Bielefeld Hauptbahnhof,9025,0.17717451523545708,0.9143777074514825
by_property,Berlin Friedrichshain,4712,0.23769100169779286,0.9077831689468661
by_property,Gütersloh Langer Weg,3644,0.1690450054884742,0.9062837756695088
by_property,Cologne Sülz,1976,0.2090080971659919,0.8913517650138881
by_property,Bremen Am Wall,6458,0.193248683803035,0.8893501771740735
by_property,Cologne Ehrenfeld,3371,0.19756748739246516,0.8756132287555578
by_property,Osnabrück Johannisstraße,6277,0.18161542137963996,0.8486520223080575
by_property,Bochum Ehrenfeld,3248,0.16687192118226601,0.8364557509211455
by_property,Fürth Hallstraße,320,0.246875,0.7905614790692789
by_channel,Expedia,2976,0.22143817204301075,0.9965007600351823
by_channel,HRS,4004,0.23901098901098902,0.9962441430476694
by_channel,Synxis,717,0.18549511854951187,0.994528272736636
by_channel,Airbnb,1129,0.14614703277236493,0.9917578272350058
by_channel,CRC Corporate Rates Club,187,0.12299465240641712,0.978525980911983
by_channel,Direct,3683,0.12136844963345099,0.8912168197266214
by_channel,Booking.com,21873,0.24130206190280254,0.8838778783631305
by_channel,Ibe,13893,0.15324264017850717,0.6812401769000457
by_rateplan,exclusive corporate rate hrs,743,0.2597577388963661,0.9978238341968912
by_rateplan,airbnb shortstay,1071,0.14565826330532214,0.9946861426369623
by_rateplan,hrs,1476,0.22967479674796748,0.9931805740407789
by_rateplan,Other,2587,0.2133745651333591,0.9829131503044546
by_rateplan,flexible shortstay with breakfast,1481,0.199864956110736,0.947414186338237
by_rateplan,flexible longstay,1058,0.4102079395085066,0.9316436251920123
by_rateplan,flexible midstay,2836,0.34520451339915376,0.9132869967761329
by_rateplan,flexible shortstay,27026,0.23333086657292978,0.8320989608780998
by_rateplan,exklusive firmenrate,847,0.11688311688311688,0.7595608491330417
by_rateplan,exclusive corporate rate,984,0.1483739837398374,0.7013518815182921
by_rateplan,nonref,8357,0.034821108053129116,0.7008683941673632
by_lead_bucket,8-30d,15034,0.20752959957429826,0.90988747347443
by_lead_bucket,31-90d,9314,0.2906377496242216,0.897113745040648
by_lead_bucket,90+d,2809,0.43289426842292633,0.8817900890408696
by_lead_bucket,0-7d,21309,0.12895959453751935,0.8288154103307972
