fold,S,n_test,auc_haz,ap_haz,brier_haz
0,2026-01-11,2809,0.7422693031459601,0.37140001607393613,0.11444531605196746
1,2026-01-25,2614,0.7290569858978315,0.28642453173231924,0.1082640102136733
2,2026-02-08,2768,0.6882508864502921,0.3193143082249363,0.12368414350308456
3,2026-02-22,2925,0.729761262779463,0.28601397149441726,0.09592818382177098
4,2026-03-08,2598,0.7190173681216325,0.2957475382762119,0.09790294804308326
5,2026-03-22,2372,0.7473140651242073,0.28768150687785954,0.09686908060962574
6,2026-04-05,3026,0.683176642570712,0.2736226323647625,0.11613538773958748
7,2026-04-19,2953,0.7292886056155422,0.3159472223265535,0.1054776615973596
8,2026-05-03,3146,0.7362687291493425,0.28051780519247727,0.10337460991264384
9,2026-05-17,3394,0.7544270088140592,0.31002347022742527,0.09055956965815903
10,2026-05-31,3507,0.768900004515521,0.38042112602583433,0.09701431417661747
11,2026-06-14,1533,0.7226225085227866,0.2796973452104254,0.07570058194250869
